Incident_2019	Incident_2020	Incident_2021	Incident_2022	Incident_2023	Incident_2024	Incident_2025
Blocked Driveway	Task Assignment	Meal Break	Disturbance	Medical Call	Meal Break	Emergency Access Card Use
Meal Break	Meal Break	Targeted Area Patrol	Assist Own Agency (Backup)	Fireworks Complaint	Medical Call	Patrol Check
Medical Call 	Motor Vehicle Crash – Hit and Run	Noise Complaint	Fireworks Complaint	Targeted Area Patrol	Noise Complaint	Blocked Driveway
Noise Complaint 	Assist Own Agency (Backup)	Assist Own Agency (Backup)	Task Assignment	HQ Assignment	Assist Own Agency (Backup)	Unwanted Person
Suspicious Incident 	Medical Call	Task Assignment	Targeted Area Patrol	Suspicious Vehicle	Task Assignment	Assist Own Agency (Backup)
Assist Own Agency (Backup)	Alarm - Fire	Motor Vehicle Lock-out	Meal Break	Task Assignment	Patrol Check	Motor Vehicle Crash
Task Assignment	Noise Complaint	Police Assist	Dispute	Meal Break	Burglary  2C:18-2	Meal Break
Fire Department Call 	Relief / Personal	Medical Call	Noise Complaint	Dispute	Welfare Check	TAPS - Housing
Dispute	Alarm - Burglar	Peace Officer	Administrative Assignment	Assist Own Agency (Backup)	Administrative Assignment	Task Assignment
Relief / Personal	Unwanted Person	Theft  2C:20-3	Narcotics Investigation	Noise Complaint	Blocked Driveway	Fireworks Complaint
Hazard All Other	Domestic Dispute	Dispute	Alarm - Burglar	Suspicious Incident	Disturbance	Noise Complaint
Unwanted Person 	Desk Coverage	Lock-Out Residence	Repossessed Motor Vehicle	Patrol Check	Medical Call –Oxygen	Intoxicated Person
Medical Call/Injury 	Dispute	Unknown Investigation	Medical Call	Disturbance	Motor Vehicle Impound	Hazard - Pothole
Alarm - Burglar	Assist Other Agency	Suspicious Person	Medical Call –Oxygen	Fight -Unarmed	A.T.R.A.	Abandoned Auto
Welfare Check	Fight -Unarmed	Domestic Dispute	Domestic Dispute	Suspicious Person	Simple Assault  2C:12-1a	Domestic Dispute
Medical Call –Oxygen	HQ Assignment	Property Damage (Non-Criminal)	Relief / Personal	Alarm - Burglar	Relief / Personal	Medical Call - Oxygen
Administrative Assignment	Welfare Check	Administrative Assignment	Assist Other Agency	Desk Coverage	Overnight Parking	Administrative Assignment
Desk Coverage	9-1-1 Call	Vehicle Maintenance	HQ Assignment	Relief / Personal	Alarm - Burglar	Fight - Unarmed
Suspicious Vehicle 	Fireworks Complaint	Alarm - Burglar	Unknown Investigation	City Ordinance	Unwanted Person	Dispute
Lock-Out Residence	Motor Vehicle Stop	Medical Call –Oxygen	Alarm - Fire	Motor Vehicle Crash – Hit and Run	Unknown Investigation	Alarm - Burglar
