value,description,notes
Advised,Party advised of options or information,
Arrest,Arrest effected on scene,
Assisted,Assistance rendered without further action,
Checked OK,Area or person checked and found OK,
Canceled,Call canceled prior to completion,
Complete,Call handled and completed,
Curbside Warning,Warning issued without formal action,
Dispersed,Subjects dispersed from area,
Field Contact,Documented field contact,
G.O.A.,Subject gone on arrival,"Trim source values to remove trailing spaces"
Issued,Report or summons issued,
Other - See Notes,See narrative for disposition details,
Record Only,Entry for record keeping only,
See Report,See accompanying report for details,
See Supplement,Supplemental report exists,
TOT - See Notes,Turned over to another unit or agency,
Temp. Settled,Temporary resolution reached,
Transported,Subject transported (specify details),
Unable to Locate,Unable to locate complainant or subject,
Unfounded,Incident determined unfounded,
